2020-10-31T13:00:59.29,webstorm64.exe,WebStorm
2020-10-31T13:06:05.63,explorer.exe,Windows Explorer
2020-10-31T13:06:08.71,chrome.exe,Google Chrome
2020-10-31T13:06:26.81,explorer.exe,Windows Explorer
2020-10-31T13:06:29.96,webstorm64.exe,WebStorm
2020-10-31T13:06:44.44,chrome.exe,Google Chrome
2020-10-31T13:07:19.73,explorer.exe,Windows Explorer
2020-10-31T13:07:24.15,chrome.exe,Google Chrome
2020-10-31T13:07:30.73,explorer.exe,Windows Explorer
2020-10-31T13:07:34.37,webstorm64.exe,WebStorm
2020-10-31T13:09:46.46,explorer.exe,Windows Explorer
2020-10-31T13:09:48.22,chrome.exe,Google Chrome
2020-10-31T13:10:25.14,explorer.exe,Windows Explorer
2020-10-31T13:10:28.69,webstorm64.exe,WebStorm
2020-10-31T13:13:37.81,chrome.exe,Google Chrome
2020-10-31T13:13:38.37,webstorm64.exe,WebStorm
2020-10-31T13:14:03.62,explorer.exe,Windows Explorer
2020-10-31T13:14:25.04,webstorm64.exe,WebStorm
2020-10-31T13:14:28.92,explorer.exe,Windows Explorer
2020-10-31T13:14:30.68,webstorm64.exe,WebStorm
2020-10-31T13:14:37.61,explorer.exe,Windows Explorer
2020-10-31T13:14:39.44,webstorm64.exe,WebStorm
2020-10-31T13:14:43.7,explorer.exe,Windows Explorer
2020-10-31T13:14:47.23,chrome.exe,Google Chrome
2020-10-31T13:15:39.03,explorer.exe,Windows Explorer
2020-10-31T13:15:43.69,webstorm64.exe,WebStorm
2020-10-31T13:19:20.43,explorer.exe,Windows Explorer
2020-10-31T13:19:21.98,webstorm64.exe,WebStorm
2020-10-31T13:19:48.15,explorer.exe,Windows Explorer
2020-10-31T13:19:49.45,webstorm64.exe,WebStorm
2020-10-31T13:19:59.12,explorer.exe,Windows Explorer
2020-10-31T13:20:00.44,webstorm64.exe,WebStorm
2020-10-31T13:20:07.56,explorer.exe,Windows Explorer
2020-10-31T13:20:10.67,webstorm64.exe,WebStorm
2020-10-31T13:28:12.52,chrome.exe,Google Chrome
2020-10-31T13:30:09.33,explorer.exe,Windows Explorer
2020-10-31T13:30:13.73,webstorm64.exe,WebStorm
2020-10-31T13:30:40.28,chrome.exe,Google Chrome
2020-10-31T13:30:53.69,explorer.exe,Windows Explorer
2020-10-31T13:30:56.83,webstorm64.exe,WebStorm
2020-10-31T13:32:13.98,chrome.exe,Google Chrome
2020-10-31T13:33:38.72,explorer.exe,Windows Explorer
2020-10-31T13:33:42.76,chrome.exe,Google Chrome
2020-10-31T13:33:58.63,explorer.exe,Windows Explorer
2020-10-31T13:34:01.82,webstorm64.exe,WebStorm
2020-10-31T13:35:07.72,chrome.exe,Google Chrome
2020-10-31T13:36:16.52,explorer.exe,Windows Explorer
2020-10-31T13:36:20.44,webstorm64.exe,WebStorm
2020-10-31T13:37:01.19,chrome.exe,Google Chrome
2020-10-31T13:37:38.81,explorer.exe,Windows Explorer
2020-10-31T13:37:41.82,webstorm64.exe,WebStorm
2020-10-31T13:37:52.19,chrome.exe,Google Chrome
2020-10-31T13:38:05.63,explorer.exe,Windows Explorer
2020-10-31T13:38:08.77,webstorm64.exe,WebStorm
2020-10-31T13:39:24.74,chrome.exe,Google Chrome
2020-10-31T13:39:33.83,explorer.exe,Windows Explorer
2020-10-31T13:39:36.62,webstorm64.exe,WebStorm
2020-10-31T13:43:50.87,explorer.exe,Windows Explorer
2020-10-31T13:43:53.43,webstorm64.exe,WebStorm
2020-10-31T13:44:54.2,explorer.exe,Windows Explorer
2020-10-31T13:44:55.93,webstorm64.exe,WebStorm
2020-10-31T13:47:35.01,chrome.exe,Google Chrome
2020-10-31T13:47:48.71,explorer.exe,Windows Explorer
2020-10-31T13:47:53.53,chrome.exe,Google Chrome
2020-10-31T13:48:07.03,explorer.exe,Windows Explorer
2020-10-31T13:48:10.11,webstorm64.exe,WebStorm
2020-10-31T13:48:16.64,explorer.exe,Windows Explorer
2020-10-31T13:48:18.1,webstorm64.exe,WebStorm
2020-10-31T13:49:06.25,explorer.exe,Windows Explorer
2020-10-31T13:49:07.83,webstorm64.exe,WebStorm
2020-10-31T13:51:05.85,chrome.exe,Google Chrome
2020-10-31T13:51:16.96,explorer.exe,Windows Explorer
2020-10-31T13:51:24,webstorm64.exe,WebStorm
2020-10-31T14:02:13.23,explorer.exe,Windows Explorer
2020-10-31T14:02:13.64,webstorm64.exe,WebStorm
2020-10-31T14:02:18.4,explorer.exe,Windows Explorer
2020-10-31T14:02:19.86,webstorm64.exe,WebStorm
2020-10-31T14:02:38.02,explorer.exe,Windows Explorer
2020-10-31T14:02:39.4,webstorm64.exe,WebStorm
2020-10-31T14:03:02.81,explorer.exe,Windows Explorer
2020-10-31T14:03:04.79,webstorm64.exe,WebStorm
2020-10-31T14:03:27.77,explorer.exe,Windows Explorer
2020-10-31T14:03:29.1,webstorm64.exe,WebStorm
2020-10-31T14:03:47.53,explorer.exe,Windows Explorer
2020-10-31T14:03:49.14,chrome.exe,Google Chrome
2020-10-31T14:05:42.55,explorer.exe,Windows Explorer
2020-10-31T14:05:45.33,webstorm64.exe,WebStorm
2020-10-31T14:20:20.63,explorer.exe,Windows Explorer
2020-10-31T14:20:22.26,webstorm64.exe,WebStorm
2020-10-31T14:21:56.04,explorer.exe,Windows Explorer
2020-10-31T14:21:57.34,webstorm64.exe,WebStorm
2020-10-31T14:22:46.75,explorer.exe,Windows Explorer
2020-10-31T14:22:48.43,chrome.exe,Google Chrome
2020-10-31T14:23:21.37,explorer.exe,Windows Explorer
2020-10-31T14:23:24.65,webstorm64.exe,WebStorm
2020-10-31T14:25:23.36,chrome.exe,Google Chrome
2020-10-31T14:26:29.44,explorer.exe,Windows Explorer
2020-10-31T14:26:32.48,webstorm64.exe,WebStorm
2020-10-31T14:29:12.4,explorer.exe,Windows Explorer
2020-10-31T14:29:19.37,chrome.exe,Google Chrome
2020-10-31T14:29:52.42,explorer.exe,Windows Explorer
2020-10-31T14:29:56.89,webstorm64.exe,WebStorm
2020-10-31T14:30:21.86,explorer.exe,Windows Explorer
2020-10-31T14:30:23.28,chrome.exe,Google Chrome
2020-10-31T14:30:39.23,explorer.exe,Windows Explorer
2020-10-31T14:30:42.57,webstorm64.exe,WebStorm
2020-10-31T14:31:41.57,explorer.exe,Windows Explorer
2020-10-31T14:31:43.12,webstorm64.exe,WebStorm
2020-10-31T14:31:46.38,explorer.exe,Windows Explorer
2020-10-31T14:31:47.53,webstorm64.exe,WebStorm
2020-10-31T14:32:32.86,chrome.exe,Google Chrome
2020-10-31T14:32:44.15,explorer.exe,Windows Explorer
2020-10-31T14:32:47.24,webstorm64.exe,WebStorm
2020-10-31T14:32:54.17,chrome.exe,Google Chrome
2020-10-31T14:33:29.05,explorer.exe,Windows Explorer
2020-10-31T14:33:33,webstorm64.exe,WebStorm
2020-10-31T14:33:45.95,explorer.exe,Windows Explorer
2020-10-31T14:33:47.54,webstorm64.exe,WebStorm
2020-10-31T14:34:15.45,McUICnt.exe,McAfee LiveSafe
2020-10-31T14:34:16.31,webstorm64.exe,WebStorm
2020-10-31T14:34:28.93,explorer.exe,Windows Explorer
2020-10-31T14:34:30.29,webstorm64.exe,WebStorm
2020-10-31T14:35:51.37,explorer.exe,Windows Explorer
2020-10-31T14:35:56.43,webstorm64.exe,WebStorm
2020-10-31T14:37:03.73,explorer.exe,Windows Explorer
2020-10-31T14:37:05.02,webstorm64.exe,WebStorm
2020-10-31T14:40:05,explorer.exe,Windows Explorer
2020-10-31T14:40:06.32,webstorm64.exe,WebStorm
2020-10-31T14:40:38.83,explorer.exe,Windows Explorer
2020-10-31T14:40:41.14,webstorm64.exe,WebStorm
2020-10-31T14:45:16.43,chrome.exe,Google Chrome
2020-10-31T14:46:09.24,explorer.exe,Windows Explorer
2020-10-31T14:46:12.31,webstorm64.exe,WebStorm
2020-10-31T14:47:26.84,chrome.exe,Google Chrome
2020-10-31T14:47:58.59,explorer.exe,Windows Explorer
2020-10-31T14:48:02.97,webstorm64.exe,WebStorm
2020-10-31T14:48:28.27,chrome.exe,Google Chrome
2020-10-31T14:50:56.35,explorer.exe,Windows Explorer
2020-10-31T14:51:03.46,webstorm64.exe,WebStorm
2020-10-31T14:54:25.12,chrome.exe,Google Chrome
2020-10-31T14:55:30.89,explorer.exe,Windows Explorer
2020-10-31T14:55:34.15,webstorm64.exe,WebStorm
2020-10-31T14:55:56.16,explorer.exe,Windows Explorer
2020-10-31T14:55:57.82,webstorm64.exe,WebStorm
2020-10-31T14:56:12.88,explorer.exe,Windows Explorer
2020-10-31T14:56:14.46,webstorm64.exe,WebStorm
2020-10-31T14:58:05.84,explorer.exe,Windows Explorer
2020-10-31T14:58:08.99,chrome.exe,Google Chrome
2020-10-31T14:58:38.25,explorer.exe,Windows Explorer
2020-10-31T14:58:41.29,webstorm64.exe,WebStorm
2020-10-31T15:02:14.42,chrome.exe,Google Chrome
2020-10-31T15:02:44.02,explorer.exe,Windows Explorer
2020-10-31T15:02:49.2,webstorm64.exe,WebStorm
2020-10-31T15:03:09.62,chrome.exe,Google Chrome
2020-10-31T15:03:48.71,explorer.exe,Windows Explorer
2020-10-31T15:03:52.79,webstorm64.exe,WebStorm
2020-10-31T15:09:22.6,chrome.exe,Google Chrome
2020-10-31T15:09:41.31,explorer.exe,Windows Explorer
2020-10-31T15:09:44.65,webstorm64.exe,WebStorm
2020-10-31T15:11:29.18,chrome.exe,Google Chrome
2020-10-31T15:11:51.4,explorer.exe,Windows Explorer
2020-10-31T15:11:55.05,webstorm64.exe,WebStorm
2020-10-31T15:11:57.98,explorer.exe,Windows Explorer
2020-10-31T15:11:59.03,webstorm64.exe,WebStorm
2020-10-31T15:12:41.31,explorer.exe,Windows Explorer
2020-10-31T15:12:42.68,webstorm64.exe,WebStorm
2020-10-31T15:13:12.05,explorer.exe,Windows Explorer
2020-10-31T15:13:13.32,webstorm64.exe,WebStorm
2020-10-31T15:13:40.23,chrome.exe,Google Chrome
2020-10-31T15:14:02.78,explorer.exe,Windows Explorer
2020-10-31T15:14:05.84,webstorm64.exe,WebStorm
2020-10-31T15:16:08.44,chrome.exe,Google Chrome
2020-10-31T15:16:40.66,explorer.exe,Windows Explorer
2020-10-31T15:16:45.25,webstorm64.exe,WebStorm
2020-10-31T15:17:15.25,explorer.exe,Windows Explorer
2020-10-31T15:17:16.36,webstorm64.exe,WebStorm
2020-10-31T15:19:16.06,explorer.exe,Windows Explorer
2020-10-31T15:19:17.18,webstorm64.exe,WebStorm
2020-10-31T15:21:58.75,chrome.exe,Google Chrome
2020-10-31T15:24:04.91,explorer.exe,Windows Explorer
2020-10-31T15:24:07.93,webstorm64.exe,WebStorm
2020-10-31T15:24:23.34,chrome.exe,Google Chrome
2020-10-31T15:24:46.9,explorer.exe,Windows Explorer
2020-10-31T15:24:51.29,webstorm64.exe,WebStorm
2020-10-31T15:24:56.77,explorer.exe,Windows Explorer
2020-10-31T15:25:02.73,webstorm64.exe,WebStorm
2020-10-31T15:25:23.94,chrome.exe,Google Chrome
2020-10-31T15:25:35.89,explorer.exe,Windows Explorer
2020-10-31T15:25:39.63,webstorm64.exe,WebStorm
2020-10-31T15:27:34.93,chrome.exe,Google Chrome
2020-10-31T15:28:07.19,explorer.exe,Windows Explorer
2020-10-31T15:28:11.5,webstorm64.exe,WebStorm
2020-10-31T15:33:27.73,chrome.exe,Google Chrome
2020-10-31T15:34:13.66,explorer.exe,Windows Explorer
2020-10-31T15:34:19.11,webstorm64.exe,WebStorm
2020-10-31T15:34:22.13,explorer.exe,Windows Explorer
2020-10-31T15:34:23.25,webstorm64.exe,WebStorm
2020-10-31T15:37:05.71,chrome.exe,Google Chrome
2020-10-31T15:37:17.55,explorer.exe,Windows Explorer
2020-10-31T15:37:21.84,webstorm64.exe,WebStorm
2020-10-31T15:37:48.87,explorer.exe,Windows Explorer
2020-10-31T15:37:51.66,webstorm64.exe,WebStorm
2020-10-31T15:37:59.25,explorer.exe,Windows Explorer
2020-10-31T15:38:00.76,webstorm64.exe,WebStorm
2020-10-31T15:38:12.03,explorer.exe,Windows Explorer
2020-10-31T15:38:13.42,webstorm64.exe,WebStorm
2020-10-31T15:38:26.36,explorer.exe,Windows Explorer
2020-10-31T15:38:27.95,webstorm64.exe,WebStorm
2020-10-31T15:38:44.1,chrome.exe,Google Chrome
2020-10-31T15:47:18.71,explorer.exe,Windows Explorer
